page	lang	kind	source	gate	line	excerpt
StructureDefinition-mii-ex-dokument-nlp-processing-status-intro	default	bridge	MIIIGModulDokument/TechnischeImplementierung/FHIRProfile/NLP-Processing-Status-Extension.page.md	B	31	**Bei der Migration verfasst — vor dem Release prüfen.** Die technische Struktur dieser Extension — Differential, Key El
StructureDefinition-mii-ex-dokument-nlp-processing-status-intro	default	bridge	MIIIGModulDokument/TechnischeImplementierung/FHIRProfile/NLP-Processing-Status-Extension.page.md	B	75	**Bei der Migration verfasst — vor dem Release prüfen.** Alle Beispiele sind vollständig synthetisch; die Gesamtübersich
StructureDefinition-mii-ex-dokument-nlp-processing-status-intro	en	bridge	MIIIGModulDokument/TechnischeImplementierung/FHIRProfile/NLP-Processing-Status-Extension.page.md	B	32	**Written during migration — review before release.** The technical structure of this extension — differential, key elem
StructureDefinition-mii-ex-dokument-nlp-processing-status-intro	en	bridge	MIIIGModulDokument/TechnischeImplementierung/FHIRProfile/NLP-Processing-Status-Extension.page.md	B	76	**Written during migration — review before release.** All examples are entirely synthetic; the full overview of the modu
StructureDefinition-mii-pr-dokument-dokument-intro	default	bridge	MIIIGModulDokument/TechnischeImplementierung/FHIRProfile/Dokument-DocumentReference.page.md	B	17	**Bei der Migration verfasst — vor dem Release prüfen.** Die folgende Tabelle stellt die Datenelemente des logischen Mod
StructureDefinition-mii-pr-dokument-dokument-intro	default	bridge	MIIIGModulDokument/TechnischeImplementierung/FHIRProfile/Dokument-DocumentReference.page.md	B	64	**Bei der Migration verfasst — vor dem Release prüfen.** Die maschinenlesbare Festlegung derselben Suchparameter steht i
StructureDefinition-mii-pr-dokument-dokument-intro	default	bridge	MIIIGModulDokument/TechnischeImplementierung/FHIRProfile/Dokument-DocumentReference.page.md	B	273	**Bei der Migration verfasst — vor dem Release prüfen.** Eine Übersicht aller Beispielinstanzen des Moduls steht auf der
StructureDefinition-mii-pr-dokument-dokument-intro	en	bridge	MIIIGModulDokument/TechnischeImplementierung/FHIRProfile/Dokument-DocumentReference.page.md	B	17	**Written during migration — review before release.** The following table maps the data elements of the logical model [M
StructureDefinition-mii-pr-dokument-dokument-intro	en	bridge	MIIIGModulDokument/TechnischeImplementierung/FHIRProfile/Dokument-DocumentReference.page.md	B	67	**Written during migration — review before release.** The machine-readable declaration of the same search parameters is 
StructureDefinition-mii-pr-dokument-dokument-intro	en	bridge	MIIIGModulDokument/TechnischeImplementierung/FHIRProfile/Dokument-DocumentReference.page.md	B	276	**Written during migration — review before release.** An overview of all example instances of the module is on the [Exam
downloads	default	bridge	none	B	72	**Bei der Migration verfasst — vor dem Release prüfen.** #### Paket-Registry Das FHIR-Package ist zusätzlich in der Simp
downloads	en	bridge	none	B	69	**Written during migration — review before release.** #### Package registry The FHIR package is additionally published i
