property	pre	post	verdict
identity.id	mii-ig-dokument	mii-ig-dokument	unchanged
identity.canonical	https://www.medizininformatik-initiative.de/fhir/ext/modul-dokument	https://www.medizininformatik-initiative.de/fhir/ext/modul-dokument	unchanged
identity.packageId	de.medizininformatikinitiative.kerndatensatz.dokument	de.medizininformatikinitiative.kerndatensatz.dokument	unchanged
identity.name	MII_IG_Dokument	MII_IG_Dokument	unchanged
identity.version	2027.0.0-ballot.rc1	2027.0.0-ballot.rc1	unchanged
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.license	CC0-1.0	CC-BY-4.0	REGRESSION
identity.calver	true	true	unchanged
identity.publisher	Medizininformatik-Initiative	Medizininformatik-Initiative	unchanged
identity.status	draft	draft	unchanged
identity.title	MII IG Dokument	MII IG Dokument	unchanged
licence.contradictory	false	true	REGRESSION
dependency_health.injection_risk	false	false	unchanged
narrative_sources.dual_source	true	true	unchanged
mode	static	static	unchanged
artifacts.profiles	1	1	unchanged
artifacts.extensions	1	1	unchanged
artifacts.valuesets	6	6	unchanged
artifacts.codesystems	1	1	unchanged
artifacts.logicals	1	1	unchanged
artifacts.capabilitystatements	1	1	unchanged
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	0	0	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	8	8	unchanged
artifacts.rulesets	27	62	expected-change
artifacts.invariants	2	2	unchanged
artifacts.mappings	1	1	unchanged
artifacts.other_total	0	0	unchanged
artifacts.total	19	19	unchanged
narrative.pages	15	34	expected-change
narrative.intro_note_pages	0	2	expected-change
narrative.translation_pages	0	19	expected-change
directives.total	105	105	unchanged
